neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,room_type_n
Brooklyn,Private room,29,3,30,0.65,0
Bronx,Private room,45,5,30,0.98,0
Brooklyn,Entire home/apt,100,1,1,1.0,1
Brooklyn,Private room,70,3,15,2.32,0
Brooklyn,Entire home/apt,130,2,9,2.93,1
Manhattan,Private room,59,1,3,1.64,0
Brooklyn,Private room,99,1,0,0.0,0
Brooklyn,Entire home/apt,120,3,59,1.73,1
Queens,Private room,40,4,0,0.0,0
Queens,Private room,75,2,0,0.0,0
Brooklyn,Private room,65,2,31,5.08,0
Brooklyn,Entire home/apt,200,3,95,1.65,1
Brooklyn,Entire home/apt,280,6,6,0.39,1
Queens,Private room,40,1,7,0.41,0
Brooklyn,Private room,70,3,3,3.0,0
Manhattan,Private room,154,4,5,0.22,0
Manhattan,Private room,79,1,63,3.28,0
Brooklyn,Entire home/apt,132,3,5,0.14,1
Manhattan,Entire home/apt,200,1,5,2.31,1
Queens,Entire home/apt,125,2,2,2.0,1
Queens,Private room,40,1,6,0.79,0
Manhattan,Private room,90,1,185,3.71,0
Manhattan,Private room,94,3,11,0.78,0
Manhattan,Entire home/apt,320,3,40,4.53,1
Manhattan,Entire home/apt,175,1,1,1.0,1
Manhattan,Private room,115,3,0,0.0,0
Brooklyn,Private room,89,3,152,2.67,0
Manhattan,Entire home/apt,268,1,3,0.08,1
Queens,Private room,55,3,2,0.1,0
Brooklyn,Private room,45,1,2,0.04,0
Manhattan,Private room,110,3,58,1.62,0
Manhattan,Private room,32,4,45,2.53,0
Brooklyn,Private room,55,3,58,2.5,0
Manhattan,Entire home/apt,295,3,5,4.29,1
Manhattan,Entire home/apt,191,3,51,0.88,1
Manhattan,Entire home/apt,200,3,14,0.32,1
Manhattan,Private room,90,2,3,0.15,0
Brooklyn,Private room,43,1,58,3.65,0
Manhattan,Entire home/apt,155,2,0,0.0,1
Brooklyn,Entire home/apt,170,3,28,0.62,1
Manhattan,Entire home/apt,250,3,104,2.07,1
Queens,Entire home/apt,135,1,27,1.46,1
Staten Island,Entire home/apt,75,2,131,2.85,1
Brooklyn,Entire home/apt,135,2,22,0.66,1
Brooklyn,Private room,130,2,20,0.55,0
Brooklyn,Entire home/apt,85,3,34,4.36,1
Manhattan,Private room,50,2,170,3.2,0
Manhattan,Entire home/apt,148,4,20,1.39,1
Brooklyn,Entire home/apt,135,7,2,0.07,1
Queens,Private room,300,3,2,0.32,0
Queens,Private room,52,1,45,1.27,0
Brooklyn,Private room,50,3,6,2.77,0
Brooklyn,Private room,35,10,3,0.48,0
Brooklyn,Entire home/apt,92,3,4,0.21,1
Brooklyn,Private room,59,7,1,0.28,0
Manhattan,Entire home/apt,140,2,292,4.95,1
Manhattan,Private room,90,2,52,2.7,0
Manhattan,Private room,147,1,3,0.3,0
Manhattan,Entire home/apt,110,1,233,3.39,1
Manhattan,Entire home/apt,100,7,0,0.0,1
Queens,Entire home/apt,100,4,28,1.06,1
Manhattan,Private room,99,2,3,0.08,0
Brooklyn,Entire home/apt,139,1,8,1.36,1
Queens,Private room,250,1,0,0.0,0
Manhattan,Entire home/apt,110,7,0,0.0,1
Manhattan,Private room,119,2,6,2.69,0
Manhattan,Entire home/apt,150,2,13,0.42,1
Queens,Entire home/apt,275,3,96,1.9,1
Manhattan,Private room,75,3,13,0.91,0
Brooklyn,Shared room,79,1,15,0.43,2
Brooklyn,Entire home/apt,150,3,15,2.13,1
Brooklyn,Shared room,30,1,1,1.0,2
Queens,Entire home/apt,108,4,11,0.56,1
Brooklyn,Private room,50,2,3,0.09,0
Manhattan,Entire home/apt,90,1,15,1.87,1
Queens,Entire home/apt,85,1,2,0.04,1
Manhattan,Entire home/apt,150,7,5,0.8,1
Brooklyn,Private room,40,1,13,0.65,0
Brooklyn,Private room,60,1,0,0.0,0
Manhattan,Entire home/apt,175,3,5,0.51,1
Brooklyn,Entire home/apt,165,3,6,0.1,1
Manhattan,Private room,80,7,19,0.35,0
Manhattan,Private room,70,1,7,1.02,0
Queens,Private room,80,1,4,0.28,0
Brooklyn,Entire home/apt,130,2,25,3.99,1
Manhattan,Entire home/apt,59,4,9,1.02,1
Brooklyn,Private room,99,5,4,0.35,0
Manhattan,Private room,84,1,184,2.86,0
Queens,Private room,71,3,40,1.06,0
Queens,Private room,65,1,13,4.06,0
Manhattan,Entire home/apt,200,5,0,0.0,1
Manhattan,Private room,90,5,0,0.0,0
Brooklyn,Private room,90,2,1,0.59,0
Brooklyn,Private room,48,1,106,5.26,0
Brooklyn,Private room,89,3,147,2.05,0
Manhattan,Private room,77,3,30,0.98,0
Brooklyn,Private room,59,1,5,0.13,0
Brooklyn,Private room,75,3,5,0.15,0
Brooklyn,Entire home/apt,200,2,14,0.6,1
Staten Island,Private room,40,1,56,9.33,0
Manhattan,Private room,90,6,0,0.0,0
Manhattan,Entire home/apt,90,5,2,0.04,1
Queens,Entire home/apt,199,2,39,2.48,1
Manhattan,Private room,70,1,25,6.76,0
Manhattan,Entire home/apt,170,2,18,0.45,1
Manhattan,Private room,299,1,0,0.0,0
Brooklyn,Private room,75,2,14,1.12,0
Manhattan,Entire home/apt,187,3,1,0.02,1
Queens,Entire home/apt,121,1,13,2.28,1
Manhattan,Entire home/apt,197,1,108,1.31,1
Manhattan,Entire home/apt,250,1,67,2.46,1
Manhattan,Private room,50,1,20,0.81,0
Manhattan,Private room,30,3,86,4.32,0
Manhattan,Entire home/apt,130,3,26,0.32,1
Brooklyn,Private room,53,2,5,0.13,0
Brooklyn,Private room,55,4,18,1.44,0
Manhattan,Private room,78,2,4,0.28,0
Manhattan,Entire home/apt,125,2,1,0.04,1
Manhattan,Entire home/apt,300,10,0,0.0,1
Staten Island,Private room,55,2,64,2.04,0
Brooklyn,Private room,95,2,10,0.22,0
Brooklyn,Private room,60,3,0,0.0,0
Brooklyn,Entire home/apt,115,4,0,0.0,1
Brooklyn,Entire home/apt,199,2,45,2.34,1
Brooklyn,Private room,70,7,1,0.08,0
Bronx,Private room,107,1,73,1.73,0
Brooklyn,Private room,100,3,25,1.9,0
Manhattan,Shared room,65,10,21,0.38,2
Queens,Private room,75,2,85,2.42,0
Brooklyn,Entire home/apt,175,4,99,2.12,1
Manhattan,Private room,100,2,11,1.21,0
Staten Island,Entire home/apt,75,5,81,2.04,1
Brooklyn,Private room,39,1,70,1.51,0
Manhattan,Entire home/apt,150,1,0,0.0,1
Manhattan,Entire home/apt,300,1,0,0.0,1
Manhattan,Entire home/apt,275,2,27,2.87,1
Manhattan,Entire home/apt,170,2,5,0.11,1
Manhattan,Private room,45,1,1,0.07,0
Brooklyn,Entire home/apt,120,2,1,1.0,1
Brooklyn,Entire home/apt,109,2,2,0.08,1
Manhattan,Entire home/apt,125,1,31,0.57,1
Brooklyn,Private room,90,3,3,0.11,0
Brooklyn,Private room,75,1,15,0.33,0
Manhattan,Entire home/apt,250,2,10,0.97,1
Brooklyn,Entire home/apt,98,4,32,0.5,1
Bronx,Private room,100,1,2,0.26,0
Brooklyn,Entire home/apt,180,5,0,0.0,1
Queens,Entire home/apt,70,2,13,0.28,1
Brooklyn,Private room,89,1,5,0.19,0
Bronx,Private room,62,2,5,0.12,0
Manhattan,Entire home/apt,149,4,12,0.14,1
Brooklyn,Private room,110,4,2,0.06,0
Manhattan,Entire home/apt,200,3,43,2.34,1
Brooklyn,Private room,65,1,1,0.02,0
Manhattan,Private room,119,2,32,1.09,0
Staten Island,Entire home/apt,100,1,47,9.1,1
Manhattan,Private room,89,1,23,3.37,0
Manhattan,Private room,90,7,0,0.0,0
Brooklyn,Private room,94,4,2,0.1,0
Brooklyn,Entire home/apt,150,2,63,1.26,1
Queens,Private room,55,3,26,1.82,0
Manhattan,Entire home/apt,129,5,26,0.58,1
Manhattan,Entire home/apt,99,5,10,1.55,1
Manhattan,Entire home/apt,295,5,0,0.0,1
Manhattan,Private room,55,7,1,0.02,0
Manhattan,Private room,85,10,54,4.34,0
Manhattan,Entire home/apt,199,3,24,0.3,1
Manhattan,Entire home/apt,240,5,52,1.54,1
Brooklyn,Entire home/apt,85,7,1,0.03,1
Queens,Private room,90,3,0,0.0,0
Manhattan,Entire home/apt,250,5,152,1.69,1
Manhattan,Entire home/apt,110,3,82,1.09,1
Bronx,Entire home/apt,89,2,94,3.2,1
Manhattan,Entire home/apt,150,3,13,0.26,1
Brooklyn,Private room,85,1,40,4.62,0
Manhattan,Private room,145,1,9,0.25,0
Manhattan,Private room,69,6,40,0.8,0
Staten Island,Entire home/apt,48,3,1,0.08,1
Brooklyn,Entire home/apt,99,1,114,4.97,1
Queens,Private room,65,2,17,0.44,0
Manhattan,Entire home/apt,100,3,1,0.03,1
Queens,Private room,75,1,31,9.21,0
Manhattan,Private room,125,3,0,0.0,0
Manhattan,Private room,50,1,7,5.83,0
Queens,Private room,150,4,0,0.0,0
Brooklyn,Private room,118,2,2,0.11,0
Brooklyn,Private room,55,3,0,0.0,0
Queens,Entire home/apt,180,1,0,0.0,1
Manhattan,Private room,85,1,0,0.0,0
Brooklyn,Private room,99,1,186,4.73,0
Brooklyn,Private room,110,1,150,5.99,0
Manhattan,Entire home/apt,199,7,66,0.83,1
Queens,Entire home/apt,280,1,0,0.0,1
Manhattan,Entire home/apt,140,3,1,1.0,1
Manhattan,Entire home/apt,224,7,10,0.74,1
Brooklyn,Private room,59,5,5,0.24,0
Brooklyn,Private room,85,1,6,0.16,0
Queens,Private room,60,2,21,2.04,0
Queens,Private room,83,1,9,0.55,0
Brooklyn,Private room,54,1,61,4.19,0
Manhattan,Private room,275,1,0,0.0,0
Staten Island,Shared room,13,1,9,5.51,2
Brooklyn,Entire home/apt,125,2,80,4.44,1
Manhattan,Private room,159,2,150,3.19,0
Brooklyn,Entire home/apt,120,6,1,0.16,1
Staten Island,Private room,90,1,6,0.95,0
Manhattan,Entire home/apt,239,3,145,2.63,1
Staten Island,Private room,80,1,29,3.49,0
Manhattan,Entire home/apt,185,1,23,1.87,1
Brooklyn,Private room,110,3,0,0.0,0
Brooklyn,Private room,85,1,18,4.43,0
Queens,Entire home/apt,65,2,95,4.13,1
Manhattan,Entire home/apt,175,1,1,0.02,1
Brooklyn,Entire home/apt,150,2,59,3.55,1
Manhattan,Private room,90,2,41,1.91,0
Brooklyn,Shared room,23,1,57,3.27,2
Brooklyn,Private room,50,3,0,0.0,0
Manhattan,Private room,125,3,0,0.0,0
Manhattan,Private room,65,7,0,0.0,0
Manhattan,Private room,75,4,15,2.66,0
Manhattan,Entire home/apt,181,1,2,2.0,1
Manhattan,Entire home/apt,120,1,0,0.0,1
Brooklyn,Private room,57,2,42,3.43,0
Brooklyn,Private room,65,1,0,0.0,0
Brooklyn,Entire home/apt,135,5,15,1.75,1
Manhattan,Private room,55,5,4,0.59,0
Queens,Private room,50,3,3,0.29,0
Queens,Private room,60,6,3,0.08,0
Queens,Entire home/apt,200,1,4,1.12,1
Brooklyn,Entire home/apt,200,5,1,0.59,1
Queens,Private room,120,2,0,0.0,0
Brooklyn,Entire home/apt,95,7,1,0.05,1
Bronx,Entire home/apt,110,2,112,2.6,1
Brooklyn,Private room,70,1,1,0.03,0
Queens,Private room,85,1,1,1.0,0
Queens,Entire home/apt,120,2,81,4.31,1
Brooklyn,Entire home/apt,175,3,12,0.2,1
Brooklyn,Entire home/apt,90,2,23,3.65,1
Brooklyn,Entire home/apt,275,10,1,0.03,1
Manhattan,Private room,89,1,9,3.42,0
Queens,Entire home/apt,200,3,23,1.18,1
Manhattan,Entire home/apt,199,1,29,0.31,1
Manhattan,Entire home/apt,220,6,79,1.9,1
Brooklyn,Entire home/apt,100,2,37,3.22,1
Manhattan,Entire home/apt,160,4,0,0.0,1
Manhattan,Entire home/apt,125,1,0,0.0,1
Brooklyn,Entire home/apt,100,5,9,0.17,1
Brooklyn,Private room,60,3,26,1.28,0
Brooklyn,Private room,75,1,69,4.43,0
Brooklyn,Entire home/apt,125,2,104,1.09,1
Brooklyn,Entire home/apt,220,2,79,1.62,1
Manhattan,Private room,80,7,10,0.93,0
Manhattan,Entire home/apt,299,4,1,0.16,1
Queens,Private room,75,2,4,0.42,0
Bronx,Private room,80,5,0,0.0,0
Brooklyn,Entire home/apt,189,4,33,0.44,1
Brooklyn,Entire home/apt,99,3,6,0.16,1
Brooklyn,Private room,69,3,66,1.9,0
Brooklyn,Entire home/apt,195,2,5,2.83,1
Manhattan,Private room,90,1,0,0.0,0
Brooklyn,Private room,35,6,1,0.02,0
Brooklyn,Private room,70,5,1,0.02,0
Manhattan,Private room,90,2,9,1.78,0
Brooklyn,Entire home/apt,150,3,22,2.89,1
Queens,Entire home/apt,120,3,2,0.05,1
Brooklyn,Private room,75,7,18,0.31,0
Queens,Private room,45,1,412,10.19,0
Manhattan,Private room,85,1,2,0.82,0
Queens,Entire home/apt,250,2,10,0.4,1
Brooklyn,Entire home/apt,275,1,6,0.58,1
Queens,Private room,49,1,5,0.13,0
Queens,Private room,99,5,0,0.0,0
Manhattan,Entire home/apt,175,4,6,1.33,1
Brooklyn,Entire home/apt,176,3,0,0.0,1
Bronx,Private room,38,3,15,0.28,0
Brooklyn,Shared room,75,1,15,3.72,2
Manhattan,Private room,90,1,0,0.0,0
Manhattan,Entire home/apt,233,6,15,0.72,1
Manhattan,Private room,80,3,0,0.0,0
Brooklyn,Entire home/apt,140,4,15,0.18,1
Bronx,Private room,35,2,16,1.55,0
Brooklyn,Private room,100,2,19,0.61,0
Manhattan,Private room,70,4,1,0.04,0
Brooklyn,Private room,32,10,3,0.07,0
Manhattan,Entire home/apt,140,1,2,0.04,1
Manhattan,Entire home/apt,300,1,268,6.12,1
Queens,Shared room,65,1,0,0.0,2
Manhattan,Entire home/apt,99,1,7,0.16,1
Brooklyn,Entire home/apt,92,2,42,2.47,1
Brooklyn,Private room,120,1,0,0.0,0
Manhattan,Private room,79,2,430,3.47,0
Manhattan,Entire home/apt,200,5,4,0.07,1
Queens,Entire home/apt,95,3,12,1.31,1
Manhattan,Private room,69,3,1,0.03,0
Queens,Entire home/apt,100,3,1,0.12,1
Brooklyn,Entire home/apt,80,10,2,0.04,1
Manhattan,Private room,105,3,1,0.05,0
Manhattan,Entire home/apt,139,7,2,0.92,1
Manhattan,Private room,95,4,9,0.26,0
Queens,Entire home/apt,122,6,0,0.0,1
Manhattan,Private room,100,2,1,0.03,0
Manhattan,Entire home/apt,110,2,9,0.96,1
Brooklyn,Entire home/apt,160,3,87,1.63,1
Manhattan,Entire home/apt,220,5,0,0.0,1
Brooklyn,Entire home/apt,249,2,54,3.17,1
Manhattan,Entire home/apt,185,2,205,5.83,1
Manhattan,Entire home/apt,122,5,13,0.42,1
Brooklyn,Entire home/apt,120,3,22,0.27,1
Manhattan,Entire home/apt,130,8,0,0.0,1
Brooklyn,Private room,65,2,9,1.29,0
Queens,Entire home/apt,115,5,1,0.04,1
Brooklyn,Private room,60,4,1,0.04,0
Manhattan,Private room,115,1,9,0.34,0
Bronx,Entire home/apt,125,3,20,1.4,1
Brooklyn,Entire home/apt,105,3,3,0.16,1
Brooklyn,Private room,100,5,2,0.7,0
Brooklyn,Entire home/apt,125,1,1,0.02,1
Brooklyn,Private room,140,3,148,2.88,0
Manhattan,Entire home/apt,100,1,0,0.0,1
Brooklyn,Private room,44,5,1,0.02,0
Manhattan,Entire home/apt,200,2,2,0.13,1
Brooklyn,Private room,58,3,47,4.26,0
Manhattan,Entire home/apt,200,2,3,0.16,1
Queens,Private room,40,5,5,1.26,0
Brooklyn,Private room,55,5,0,0.0,0
Brooklyn,Entire home/apt,113,7,0,0.0,1
Manhattan,Private room,70,7,67,0.87,0
Manhattan,Entire home/apt,200,2,3,2.05,1
Brooklyn,Entire home/apt,84,2,91,4.51,1
Manhattan,Entire home/apt,275,2,6,0.51,1
Brooklyn,Private room,49,1,2,0.05,0
Brooklyn,Private room,55,5,3,0.09,0
Brooklyn,Private room,241,1,2,0.47,0
Brooklyn,Entire home/apt,150,1,1,0.21,1
Manhattan,Private room,75,3,21,1.47,0
Manhattan,Entire home/apt,95,1,104,3.3,1
Brooklyn,Private room,50,7,2,0.05,0
Queens,Private room,50,1,36,1.96,0
Manhattan,Entire home/apt,319,2,20,1.51,1
Brooklyn,Private room,65,1,35,1.8,0
Manhattan,Private room,99,1,309,6.61,0
Brooklyn,Private room,60,3,29,3.19,0
Brooklyn,Entire home/apt,295,2,1,0.32,1
Manhattan,Entire home/apt,249,3,9,0.23,1
Queens,Entire home/apt,195,1,3,0.12,1
Brooklyn,Private room,89,1,68,2.68,0
Brooklyn,Private room,45,1,4,0.44,0
Brooklyn,Private room,52,4,0,0.0,0
Queens,Entire home/apt,215,2,2,0.16,1
Brooklyn,Entire home/apt,220,2,4,2.03,1
Manhattan,Private room,94,1,95,1.09,0
Brooklyn,Private room,70,1,82,4.12,0
Manhattan,Entire home/apt,280,1,0,0.0,1
Brooklyn,Entire home/apt,100,7,26,0.75,1
Brooklyn,Private room,150,7,5,0.79,0
Queens,Private room,225,1,1,0.11,0
Manhattan,Entire home/apt,158,7,2,0.12,1
Manhattan,Private room,100,4,2,0.32,0
Brooklyn,Private room,32,1,50,6.67,0
Brooklyn,Entire home/apt,190,4,13,3.17,1
Queens,Private room,70,2,12,2.95,0
Brooklyn,Entire home/apt,110,3,14,0.29,1
Manhattan,Entire home/apt,165,3,276,3.44,1
Manhattan,Private room,95,2,13,3.61,0
Manhattan,Entire home/apt,215,1,83,3.19,1
Queens,Private room,95,1,0,0.0,0
Manhattan,Private room,250,2,17,0.37,0
Manhattan,Private room,79,2,83,4.14,0
Queens,Private room,50,1,20,4.2,0
Manhattan,Entire home/apt,175,3,0,0.0,1
Brooklyn,Entire home/apt,180,2,11,3.37,1
Brooklyn,Private room,90,2,2,0.09,0
Manhattan,Private room,60,5,0,0.0,0
Brooklyn,Private room,49,1,26,1.41,0
Queens,Private room,85,1,115,4.94,0
Manhattan,Private room,98,7,2,1.22,0
Queens,Private room,45,1,33,4.48,0
Manhattan,Private room,90,1,3,0.08,0
Manhattan,Entire home/apt,120,7,1,0.28,1
Queens,Private room,49,1,53,3.47,0
Manhattan,Entire home/apt,141,8,12,0.44,1
Manhattan,Entire home/apt,250,3,1,0.05,1
Brooklyn,Entire home/apt,167,2,59,1.2,1
Queens,Private room,60,1,36,1.05,0
Queens,Private room,50,1,16,0.84,0
Manhattan,Private room,98,2,7,0.8,0
Manhattan,Entire home/apt,173,2,78,4.43,1
Brooklyn,Entire home/apt,50,1,74,2.03,1
Manhattan,Entire home/apt,220,1,8,0.89,1
Manhattan,Private room,320,4,6,0.18,0
Manhattan,Private room,80,2,3,0.19,0
Manhattan,Private room,100,1,4,0.3,0
Manhattan,Private room,95,1,4,0.11,0
Brooklyn,Private room,80,3,3,0.16,0
Brooklyn,Entire home/apt,99,2,51,3.45,1
Brooklyn,Entire home/apt,99,2,3,0.3,1
Brooklyn,Entire home/apt,150,2,0,0.0,1
Brooklyn,Private room,80,5,11,0.9,0
Brooklyn,Private room,120,6,15,0.21,0
Manhattan,Private room,69,2,1,0.02,0
Brooklyn,Private room,60,1,21,0.95,0
Brooklyn,Private room,70,2,58,2.8,0
Queens,Entire home/apt,130,5,0,0.0,1
Brooklyn,Entire home/apt,195,2,4,0.18,1
Manhattan,Private room,88,1,1,0.09,0
Manhattan,Private room,90,1,1,0.03,0
Queens,Entire home/apt,120,2,7,0.9,1
Brooklyn,Private room,73,1,4,0.11,0
Brooklyn,Private room,74,1,20,2.83,0
Brooklyn,Private room,85,2,37,0.67,0
Manhattan,Private room,99,1,75,1.31,0
Brooklyn,Private room,124,1,5,0.2,0
Brooklyn,Entire home/apt,200,2,80,2.09,1
Manhattan,Entire home/apt,145,2,7,3.62,1
Brooklyn,Entire home/apt,150,3,45,1.1,1
Manhattan,Private room,295,1,6,0.12,0
Manhattan,Private room,100,1,6,0.12,0
Brooklyn,Entire home/apt,150,1,0,0.0,1
Brooklyn,Private room,80,9,1,0.02,0
Brooklyn,Entire home/apt,75,3,12,1.21,1
Manhattan,Private room,50,1,1,0.02,0
Brooklyn,Private room,105,1,12,3.87,0
Queens,Entire home/apt,125,1,38,12.0,1
Brooklyn,Private room,75,2,226,4.78,0
Brooklyn,Entire home/apt,259,6,4,0.11,1
Brooklyn,Private room,55,2,1,0.03,0
Brooklyn,Private room,75,1,4,0.53,0
